Operador,Total,Non-Eq,Eq,%Non-Eq,%Eq
AOD,3,3,0,100.0,0.0
AOR,44,43,1,97.7,2.3
ASR,63,63,0,100.0,0.0
BCR,2,2,0,100.0,0.0
CDI,239,237,2,99.2,0.8
COD,19,19,0,100.0,0.0
COI,260,260,0,100.0,0.0
CRP,321,309,12,96.3,3.7
DDL,6,6,0,100.0,0.0
EHD,9,9,0,100.0,0.0
EXS,11,9,2,81.8,18.2
IOD,3,2,1,66.7,33.3
IOP,1,0,1,0.0,100.0
LCR,27,25,2,92.6,7.4
OIL,74,74,0,100.0,0.0
RIL,26,22,4,84.6,15.4
ROR,196,187,9,95.4,4.6
SCD,2,2,0,100.0,0.0
SCI,1,1,0,100.0,0.0
SDI,233,233,0,100.0,0.0
SDL,818,780,38,95.4,4.6
SIR,7,7,0,100.0,0.0
SVD,652,652,0,100.0,0.0
ZIL,74,74,0,100.0,0.0
Total,3091,3019,72,97.7,2.3
