PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
totinfo;0;126.0;0.00000;6284.0;0.00000
totinfo;1;89.7;0.28810;4462.3;0.28989
totinfo;2;65.6;0.47937;3155.6;0.49784
totinfo;3;40.5;0.67857;1717.0;0.72677
totinfo;4;34.9;0.72302;1428.8;0.77263
totinfo;5;25.5;0.79762;1119.3;0.82188
totinfo;6;18.2;0.85556;863.6;0.86257
totinfo;7;11.2;0.91111;638.0;0.89847
totinfo;8;8.6;0.93175;530.8;0.91553
totinfo;9;3.2;0.97460;391.8;0.93765
totinfo;10;1.8;0.98571;326.4;0.94806
totinfo;11;0.0;1.00000;238.0;0.96213
