PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
print_tokens;0;203.0;0.00000;3783.0;0.00000
print_tokens;1;67.6;0.66699;1137.6;0.69929
print_tokens;2;41.2;0.79704;662.2;0.82495
print_tokens;3;31.7;0.84384;530.7;0.85971
print_tokens;4;21.2;0.89557;397.1;0.89503
print_tokens;5;13.9;0.93153;306.3;0.91903
print_tokens;6;11.5;0.94335;281.4;0.92561
print_tokens;7;9.0;0.95566;239.6;0.93666
print_tokens;8;6.3;0.96897;188.0;0.95030
print_tokens;9;4.4;0.97833;161.1;0.95741
print_tokens;10;3.1;0.98473;144.3;0.96186
print_tokens;11;2.7;0.98670;131.1;0.96535
print_tokens;12;1.9;0.99064;106.9;0.97174
print_tokens;13;0.8;0.99606;86.0;0.97727
print_tokens;14;0.0;1.00000;60.0;0.98414
