PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
checkIt;0;4.0;0.00000;45.0;0.00000
checkIt;1;1.2;0.70000;24.4;0.45778
checkIt;2;0.0;1.00000;9.0;0.80000
