PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
printPrimes;0;24.0;0.00000;638.0;0.00000
printPrimes;1;6.0;0.75000;159.8;0.74953
printPrimes;2;1.2;0.95000;42.4;0.93354
printPrimes;3;0.0;1.00000;12.0;0.98119
