PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
tcas;0;42.0;0.00000;1965.0;0.00000
tcas;1;32.5;0.22619;1559.1;0.20656
tcas;2;27.5;0.34524;1325.7;0.32534
tcas;3;23.3;0.44524;1165.1;0.40707
tcas;4;19.3;0.54048;1032.2;0.47471
tcas;5;15.0;0.64286;888.2;0.54799
tcas;6;12.2;0.70952;781.1;0.60249
tcas;7;10.1;0.75952;686.0;0.65089
tcas;8;7.3;0.82619;599.2;0.69506
tcas;9;6.3;0.85000;551.9;0.71913
tcas;10;4.4;0.89524;466.1;0.76280
tcas;11;2.9;0.93095;401.3;0.79578
tcas;12;2.2;0.94762;368.7;0.81237
tcas;13;1.0;0.97619;307.6;0.84346
tcas;14;0.0;1.00000;260.0;0.86768
