PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
quicksort;0;22.0;0.00000;960.0;0.00000
quicksort;1;3.7;0.83182;219.5;0.77135
quicksort;2;1.4;0.93636;111.9;0.88344
quicksort;3;1.0;0.95455;74.9;0.92198
quicksort;4;0.4;0.98182;42.8;0.95542
quicksort;5;0.0;1.00000;25.0;0.97396
