Operator,NON_EQ,EQ,TOTAL
CCCR,24,0,24
CCDL,7,0,7
CCSR,48,1,49
CRCR,70,0,70
OAAA,0,0,0
OAAN,24,0,24
OABA,0,0,0
OABN,18,0,18
OAEA,0,0,0
OALN,12,0,12
OARN,36,0,36
OASA,0,0,0
OASN,12,0,12
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,3,0,3
OCOR,0,0,0
OEAA,38,2,40
OEBA,20,4,24
OESA,16,0,16
OIDO,0,0,0
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,18,0,18
ORAN,15,0,15
ORBN,9,0,9
ORLN,6,0,6
ORRN,15,0,15
ORSN,6,0,6
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,0,0
SMTT,0,0,0
SMVB,0,0,0
SRSR,13,0,13
SSDL,14,1,15
SSWM,0,0,0
STRI,6,0,6
STRP,15,0,15
SWDD,0,0,0
VDTR,32,10,42
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,65,1,66
VLTR,0,0,0
VSCR,0,0,0
VTWD,28,0,28
VVDL,10,0,10
Total,580,19,599
