PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
InversePermutation;0;13.0;0.00000;515.0;0.00000
InversePermutation;1;8.2;0.36923;381.6;0.25903
InversePermutation;2;4.6;0.64615;241.3;0.53146
InversePermutation;3;2.4;0.81538;114.4;0.77786
InversePermutation;4;0.4;0.96923;57.6;0.88816
InversePermutation;5;0.0;1.00000;34.0;0.93398
