PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
numZero;0;7.0;0.00000;139.0;0.00000
numZero;1;2.6;0.62857;42.2;0.69640
numZero;2;0.0;1.00000;7.0;0.94964
