PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
Queue;0;47.0;0.00000;431.0;0.00000
Queue;1;33.9;0.27872;284.0;0.34107
Queue;2;24.3;0.48298;206.4;0.52111
Queue;3;17.8;0.62128;138.8;0.67796
Queue;4;12.3;0.73830;94.8;0.78005
Queue;5;7.8;0.83404;51.3;0.88097
Queue;6;5.2;0.88936;33.5;0.92227
Queue;7;2.7;0.94255;15.7;0.96357
Queue;8;1.7;0.96383;9.3;0.97842
Queue;9;0.0;1.00000;0.0;1.00000
