PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
jday-jdate;0;31.0;0.00000;2737.0;0.00000
jday-jdate;1;19.1;0.38387;1705.7;0.37680
jday-jdate;2;4.8;0.84516;517.7;0.81085
jday-jdate;3;2.7;0.91290;284.7;0.89598
jday-jdate;4;0.9;0.97097;128.5;0.95305
jday-jdate;5;0.0;1.00000;87.0;0.96821
