Operator,NON_EQ,EQ,TOTAL
CCCR,604,36,640
CCDL,35,3,38
CCSR,403,0,403
CRCR,140,0,140
OAAA,19,1,20
OAAN,173,3,176
OABA,14,1,15
OABN,128,4,132
OAEA,5,0,5
OALN,88,0,88
OARN,264,0,264
OASA,10,0,10
OASN,88,0,88
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,2,0,2
OCOR,0,0,0
OEAA,81,4,85
OEBA,43,8,51
OESA,34,0,34
OIDO,2,0,2
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,96,3,99
ORAN,10,0,10
ORBN,6,0,6
ORLN,4,0,4
ORRN,9,1,10
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,0,0
SMTT,0,0,0
SMVB,0,0,0
SRSR,28,0,28
SSDL,31,1,32
SSWM,0,0,0
STRI,4,0,4
STRP,32,0,32
SWDD,0,0,0
VDTR,74,10,84
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,232,3,235
VLTR,0,0,0
VSCR,0,0,0
VTWD,50,6,56
VVDL,24,0,24
Total,2737,84,2821
