PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
schedule2;0;117.0;0.00000;2209.0;0.00000
schedule2;1;54.6;0.53333;1052.0;0.52377
schedule2;2;37.0;0.68376;769.1;0.65183
schedule2;3;21.0;0.82051;506.1;0.77089
schedule2;4;15.4;0.86838;428.2;0.80616
schedule2;5;14.6;0.87521;399.0;0.81938
schedule2;6;12.5;0.89316;364.8;0.83486
schedule2;7;9.8;0.91624;301.3;0.86360
schedule2;8;8.6;0.92650;274.1;0.87592
schedule2;9;7.1;0.93932;248.5;0.88751
schedule2;10;5.9;0.94957;239.9;0.89140
schedule2;11;5.4;0.95385;231.2;0.89534
schedule2;12;4.0;0.96581;205.7;0.90688
schedule2;13;2.6;0.97778;180.6;0.91824
schedule2;14;2.0;0.98291;173.6;0.92141
schedule2;15;0.0;1.00000;141.0;0.93617
