Operator,NON_EQ,EQ,TOTAL
CCCR,204,10,214
CCDL,15,3,18
CCSR,325,6,331
CRCR,246,4,250
OAAA,22,0,22
OAAN,8,0,8
OABA,3,0,3
OABN,6,0,6
OAEA,7,0,7
OALN,4,0,4
OARN,12,0,12
OASA,2,0,2
OASN,4,0,4
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,13,0,13
OCOR,0,0,0
OEAA,15,7,22
OEBA,3,3,6
OESA,4,0,4
OIDO,15,0,15
OIPM,0,0,0
OLAN,22,8,30
OLBN,10,8,18
OLLN,6,0,6
OLNG,18,0,18
OLRN,32,4,36
OLSN,12,0,12
OODL,51,5,56
ORAN,68,12,80
ORBN,39,9,48
ORLN,28,4,32
ORRN,72,8,80
ORSN,28,4,32
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,4,0,4
SMTT,4,0,4
SMVB,5,0,5
SRSR,88,1,89
SSDL,88,1,89
SSWM,16,0,16
STRI,18,0,18
STRP,89,0,89
SWDD,1,2,3
VDTR,86,58,144
VGAR,0,0,0
VGPR,0,0,0
VGSR,120,1,121
VGTR,0,0,0
VLAR,2,0,2
VLPR,4,0,4
VLSR,164,4,168
VLTR,0,0,0
VSCR,162,0,162
VTWD,95,1,96
VVDL,17,1,18
Total,2257,164,2421
