Operator,NON_EQ,EQ,TOTAL
CCCR,18,2,20
CCDL,12,3,15
CCSR,55,0,55
CRCR,155,0,155
OAAA,0,0,0
OAAN,42,2,44
OABA,0,0,0
OABN,30,3,33
OAEA,0,0,0
OALN,22,0,22
OARN,66,0,66
OASA,0,0,0
OASN,20,2,22
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,10,0,10
OCOR,0,0,0
OEAA,21,4,25
OEBA,12,3,15
OESA,8,2,10
OIDO,6,0,6
OIPM,0,0,0
OLAN,5,0,5
OLBN,3,0,3
OLLN,1,0,1
OLNG,3,0,3
OLRN,6,0,6
OLSN,2,0,2
OODL,38,3,41
ORAN,33,7,40
ORBN,22,2,24
ORLN,14,2,16
ORRN,36,4,40
ORSN,13,3,16
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,1,0,1
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,5,0,5
SMTT,5,0,5
SMVB,3,0,3
SRSR,44,1,45
SSDL,36,2,38
SSWM,0,0,0
STRI,10,0,10
STRP,38,0,38
SWDD,1,1,2
VDTR,38,55,93
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,6,0,6
VLSR,55,1,56
VLTR,0,0,0
VSCR,0,0,0
VTWD,60,2,62
VVDL,20,0,20
Total,975,104,1079
