PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
Calculation;0;33.0;0.00000;1012.0;0.00000
Calculation;1;22.8;0.30909;740.0;0.26877
Calculation;2;16.3;0.50606;566.2;0.44051
Calculation;3;7.8;0.76364;319.9;0.68389
Calculation;4;3.3;0.90000;199.6;0.80277
Calculation;5;0.0;1.00000;122.0;0.87945
