PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
stats;0;15.0;0.00000;767.0;0.00000
stats;1;3.5;0.76667;308.5;0.59778
stats;2;0.0;1.00000;56.0;0.92699
