PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
testPad;0;15.0;0.00000;568.0;0.00000
testPad;1;5.7;0.62000;296.0;0.47887
testPad;2;2.5;0.83333;135.8;0.76092
testPad;3;0.8;0.94667;54.3;0.90440
testPad;4;0.0;1.00000;17.0;0.97007
