Operator,NON_EQ,EQ,TOTAL
CCCR,934,92,1026
CCDL,49,1,50
CCSR,732,2,734
CRCR,309,1,310
OAAA,41,0,41
OAAN,124,1,125
OABA,30,0,30
OABN,84,6,90
OAEA,10,0,10
OALN,68,0,68
OARN,204,0,204
OASA,20,0,20
OASN,59,1,60
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,20,0,20
OCOR,0,0,0
OEAA,117,18,135
OEBA,51,30,81
OESA,50,4,54
OIDO,15,0,15
OIPM,2,0,2
OLAN,13,7,20
OLBN,5,7,12
OLLN,4,0,4
OLNG,12,0,12
OLRN,21,3,24
OLSN,8,0,8
OODL,133,1,134
ORAN,99,11,110
ORBN,60,6,66
ORLN,44,0,44
ORRN,97,13,110
ORSN,44,0,44
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,1,0,1
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,8,0,8
SMTT,8,0,8
SMVB,1,0,1
SRSR,95,5,100
SSDL,97,4,101
SSWM,3,0,3
STRI,24,0,24
STRP,102,0,102
SWDD,2,0,2
VDTR,87,99,186
VGAR,50,2,52
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,4,0,4
VLPR,18,0,18
VLSR,373,18,391
VLTR,0,0,0
VSCR,18,0,18
VTWD,113,11,124
VVDL,49,0,49
Total,4512,343,4855
