Operator,NON_EQ,EQ,TOTAL
CCCR,17,3,20
CCDL,1,0,1
CCSR,25,0,25
CRCR,25,0,25
OAAA,0,0,0
OAAN,4,0,4
OABA,0,0,0
OABN,3,0,3
OAEA,0,0,0
OALN,2,0,2
OARN,6,0,6
OASA,0,0,0
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,2,0,2
OCOR,0,0,0
OEAA,5,5,10
OEBA,1,5,6
OESA,2,2,4
OIDO,0,0,0
OIPM,0,0,0
OLAN,4,1,5
OLBN,2,1,3
OLLN,1,0,1
OLNG,3,0,3
OLRN,6,0,6
OLSN,2,0,2
OODL,8,0,8
ORAN,10,0,10
ORBN,6,0,6
ORLN,4,0,4
ORRN,10,0,10
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,0,0
SMTT,0,0,0
SMVB,0,0,0
SRSR,11,1,12
SSDL,6,1,7
SSWM,0,0,0
STRI,4,0,4
STRP,7,0,7
SWDD,0,0,0
VDTR,12,3,15
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,12,2,14
VLTR,0,0,0
VSCR,0,0,0
VTWD,8,2,10
VVDL,5,0,5
Total,220,26,246
