PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
boundedQueue;0;41.0;0.00000;1021.0;0.00000
boundedQueue;1;20.8;0.49268;556.7;0.45475
boundedQueue;2;12.9;0.68537;315.9;0.69060
boundedQueue;3;8.5;0.79268;225.7;0.77894
boundedQueue;4;5.4;0.86829;166.4;0.83702
boundedQueue;5;2.7;0.93415;119.4;0.88306
boundedQueue;6;0.0;1.00000;78.0;0.92360
